pair,acc_think,acc_nothink,conf5wrong_think,conf5wrong_nothink,ece_think,ece_nothink,auroc2_think,auroc2_nothink
qwen3.7-max,1.0,0.9975,0,4,0.00296875,0.006171875000000044,,0.48527568922305764
qwen3.7-plus,0.999375,0.996875,0,4,0.005625,0.0032031250000000076,0.9774859287054409,0.5949843260188088
deepseek-v4-pro,0.9949463044851548,0.994375,0,7,0.028742893240682254,0.012500000000000022,0.8862698412698413,0.5766114952161464
deepseek-v4-flash,0.9943181818181818,0.99375,0,7,0.029908459595959596,0.016171874999999985,0.8793650793650793,0.6063207547169811
