model,m_ratio,m_lo,m_hi,nboot
local-gemma-e4b,0.6904730603352688,0.3923461232054819,0.9264928681850577,200
local-qwen3-4b,0.5823695685990865,0.38328819787118606,0.7987512844670889,200
local-gemma-e2b,0.37533126203311407,0.2284653495840024,0.5464896126435288,200
local-qwen3-1.7b,0.30972105771002373,0.15366367349178656,0.47442370692707814,200
