model,m_ratio,m_lo,m_hi,nboot
human,1.3695381228779735,1.2053742464594663,1.543065769760179,250
local-gemma-e4b,0.6904730603352688,0.3982064520577323,0.9219297460301644,250
local-qwen3-4b,0.5823695685990865,0.4016846180072279,0.8548446507335213,250
local-gemma-e2b,0.375331262033114,0.2095633689792894,0.5314303455434145,250
local-qwen3-1.7b,0.30972105771002373,0.14819587669466658,0.49903170229020194,250
