model,n,n_wrong,accuracy,ece,overconfidence,type2_auroc,dprime,meta_d,m_ratio,m_diff,evidence_tier,fit_status,accuracy_lo,accuracy_hi,ece_lo,ece_hi,overconfidence_lo,overconfidence_hi,type2_auroc_lo,type2_auroc_hi,m_ratio_lo,m_ratio_hi,mratio_boot_status,acc,acc_lo,acc_hi,overconf,overconf_lo,overconf_hi,auroc2,auroc2_lo,auroc2_hi,m_lo,m_hi
human,1647,437,0.734669095324833,0.08568609593199757,0.08568609593199761,0.7675397620893772,1.3388688088371725,1.8336318864651173,1.3695381312659407,0.4947630776279448,data-driven,ok,0.7081598577500218,0.7625152625152625,0.06066710878191858,0.11013205828779599,0.06066710878191857,0.11013205828779599,0.7416851425900279,0.791807651055994,1.1996525373025024,1.5376674600909617,ok,0.734669095324833,0.7081598577500218,0.7625152625152625,0.08568609593199761,0.06066710878191857,0.11013205828779599,0.7675397620893772,0.7416851425900279,0.791807651055994,1.1996525373025024,1.5376674600909617
repl-gemma4-e2b-q4km,1600,92,0.9425,0.07031249999999999,0.03703124999999996,0.5101343558989736,3.1293377594703653,0.47603406188874026,0.1521197449678005,-2.653303697581625,data-driven,ok,0.920625,0.961265625,0.05015429687499996,0.09234374999999996,0.016636718749999967,0.05953320312500003,0.4806214352669272,0.5470337861176056,-0.188668068311619,0.41778625369908295,ok,0.9425,0.920625,0.961265625,0.03703124999999996,0.016636718749999967,0.05953320312500003,0.5101343558989736,0.4806214352669272,0.5470337861176056,-0.188668068311619,0.41778625369908295
repl-gemma4-e4b-q4km,1600,94,0.94125,0.051328125,0.043671874999999916,0.540123195162612,3.1183530036340605,0.8076251028212661,0.25899091664095675,-2.3107279008127946,data-driven,ok,0.919375,0.961875,0.03460546875000002,0.074064453125,0.022720703124999974,0.06422460937499999,0.46822135178912794,0.6132358139898115,-0.2063445792310653,0.5355594932628156,ok,0.94125,0.919375,0.961875,0.043671874999999916,0.022720703124999974,0.06422460937499999,0.540123195162612,0.46822135178912794,0.6132358139898115,-0.2063445792310653,0.5355594932628156
repl-gemma4-26b-a4b-qat,1598,5,0.9968710888610763,0.008135168961201509,-0.0031289111389236623,0.5757689893283113,5.304151226551023,4.878423255463204,0.9197368338676413,-0.42572797108781923,prior-dominated,ok,0.9912445278298937,1.0,0.003678715146045897,0.014394494583072553,-0.007582982920724113,0.0029782821475562633,0.4702343633378116,0.9816393648698548,,,skipped_insufficient_errors,0.9968710888610763,0.9912445278298937,1.0,-0.0031289111389236623,-0.007582982920724113,0.0029782821475562633,0.5757689893283113,0.4702343633378116,0.9816393648698548,,
repl-qwen3-1.7b-q8,1600,171,0.893125,0.10085937499999999,0.06585937500000005,0.5581071292647294,2.4644634403743826,0.8482376848165339,0.3441875707791697,-1.6162257555578488,data-driven,ok,0.869375,0.916265625,0.07897460937500003,0.12336523437499997,0.04257421874999991,0.09023437499999998,0.5134882734479519,0.6046919291623787,0.15502934925868214,0.5283498340351179,ok,0.893125,0.869375,0.916265625,0.06585937500000005,0.04257421874999991,0.09023437499999998,0.5581071292647294,0.5134882734479519,0.6046919291623787,0.15502934925868214,0.5283498340351179
repl-qwen3-4b-q4km,1599,55,0.965603502188868,0.04268292682926828,-0.026422764227642226,0.65875529910504,3.6521420145673478,1.671287105574657,0.4576183234135945,-1.9808549089926908,data-driven,ok,0.9499992182614133,0.9781399601063829,0.02976050880014298,0.054211446639052405,-0.0405787340883422,-0.010787823932926857,0.5839607834635689,0.7328927500955217,0.32615091681180053,0.597733312372145,ok,0.965603502188868,0.9499992182614133,0.9781399601063829,-0.026422764227642226,-0.0405787340883422,-0.010787823932926857,0.65875529910504,0.5839607834635689,0.7328927500955217,0.32615091681180053,0.597733312372145
repl-qwen3-14b-q4km,1600,23,0.985625,0.04335937500000002,-0.03460937499999994,0.7252901767252075,4.309767411890856,2.2721234526098946,0.5272032653875929,-2.037643959280962,regularized,ok,0.976234375,0.994375,0.03171289062499999,0.05484960937499997,-0.045630859374999916,-0.02226367187499996,0.5841028954061939,0.8622815032439554,,,skipped_insufficient_errors,0.985625,0.976234375,0.994375,-0.03460937499999994,-0.045630859374999916,-0.02226367187499996,0.7252901767252075,0.5841028954061939,0.8622815032439554,,
