model,n_fictional,fictional_accuracy,fictional_confidence,n_real,real_accuracy,real_confidence,accuracy_gap,confidence_gap
human,197,0.26903553299492383,1.6395939086294415,212,0.7311320754716981,3.542452830188679,0.4620965424767743,1.9028589215592375
repl-gemma4-e2b-q4km,212,0.9292452830188679,3.943396226415094,188,0.8085106382978723,4.952127659574468,-0.1207346447209956,1.0087314331593737
repl-gemma4-e4b-q4km,212,1.0,4.7075471698113205,188,0.8031914893617021,4.792553191489362,-0.19680851063829785,0.0850060216780415
repl-gemma4-26b-a4b-qat,210,1.0,4.680952380952381,188,0.9946808510638298,4.99468085106383,-0.005319148936170248,0.31372847011144867
repl-qwen3-1.7b-q8,212,0.8066037735849056,3.7641509433962264,188,0.7659574468085106,4.75531914893617,-0.040646326776395014,0.9911682055399438
repl-qwen3-4b-q4km,211,0.943127962085308,3.6018957345971563,188,0.925531914893617,4.5,-0.017596047191691055,0.8981042654028437
repl-qwen3-14b-q4km,212,0.9764150943396226,3.188679245283019,188,0.9521276595744681,4.781914893617022,-0.024287434765154492,1.5932356483340029
