model,status,n,n_wrong,error_count,evidence_tier,m_ratio_mean,m_ratio_median,m_ratio_sd,mr_mean,mr_median,post_sd,hdi_lo,hdi_hi,hdi_width,rhat,n_divergent,divergence_rate,draws,chains,seed,reliable,runtime_s,error_type,error_message,draws_requested,chains_requested,input_digests,n_div,width,runtime,completed_at
human,complete,1647,437,437,data-driven,1.337057334721843,1.3339481808847626,0.09774530130916138,1.337057334721843,1.3339481808847626,0.09774530130916138,1.1467507053801043,1.5188364268014347,0.37208572142133045,1.0004713511397632,0,0.0,800,2,20260918,True,70.31055845902301,,,800,2,"{'model': 'b98d97f655ee511dc5c7e0573c3300dfc5daf5760b820fa82ad93c49a2ff66ac', 'human': '3febb2d851a6c5136496c754fcc2ec78afaac57dd6a9a4a9534713ea2920ddac'}",0,0.37208572142133045,70.31055845902301,2026-09-18T04:59:21.731824+00:00
repl-gemma4-e2b-q4km,complete,1600,92,92,data-driven,0.3671664123700266,0.37034169887623763,0.09219764920694615,0.3671664123700266,0.37034169887623763,0.09219764920694615,0.18664312157534121,0.5436678630980112,0.35702474152266994,1.0059582597347623,20,0.0125,800,2,20260918,True,8.651369084022008,,,800,2,"{'model': 'b98d97f655ee511dc5c7e0573c3300dfc5daf5760b820fa82ad93c49a2ff66ac', 'human': '3febb2d851a6c5136496c754fcc2ec78afaac57dd6a9a4a9534713ea2920ddac'}",20,0.35702474152266994,8.651369084022008,2026-09-18T04:59:30.383817+00:00
repl-gemma4-e4b-q4km,complete,1600,94,94,data-driven,0.398718463685036,0.3988087932750318,0.07949890970945882,0.398718463685036,0.3988087932750318,0.07949890970945882,0.24104183247342745,0.550154411872102,0.30911257939867454,1.002118975403237,96,0.06,800,2,20260918,False,8.803730083978735,,,800,2,"{'model': 'b98d97f655ee511dc5c7e0573c3300dfc5daf5760b820fa82ad93c49a2ff66ac', 'human': '3febb2d851a6c5136496c754fcc2ec78afaac57dd6a9a4a9534713ea2920ddac'}",96,0.30911257939867454,8.803730083978735,2026-09-18T04:59:39.188356+00:00
repl-gemma4-26b-a4b-qat,complete,1598,5,5,prior-dominated,1.0790718294254094,1.0785067096068444,0.09076376860791827,1.0790718294254094,1.0785067096068444,0.09076376860791827,0.900047220430048,1.2441859694704458,0.34413874904039776,1.0073948392695742,563,0.351875,800,2,20260918,False,11.755745999980718,,,800,2,"{'model': 'b98d97f655ee511dc5c7e0573c3300dfc5daf5760b820fa82ad93c49a2ff66ac', 'human': '3febb2d851a6c5136496c754fcc2ec78afaac57dd6a9a4a9534713ea2920ddac'}",563,0.34413874904039776,11.755745999980718,2026-09-18T04:59:50.944826+00:00
repl-qwen3-1.7b-q8,complete,1600,171,171,data-driven,0.40521188825472626,0.4064750871703872,0.07554592667728936,0.40521188825472626,0.4064750871703872,0.07554592667728936,0.24509515063562606,0.5444214189664,0.2993262683307739,1.0042614840619049,23,0.014375,800,2,20260918,True,7.45905208401382,,,800,2,"{'model': 'b98d97f655ee511dc5c7e0573c3300dfc5daf5760b820fa82ad93c49a2ff66ac', 'human': '3febb2d851a6c5136496c754fcc2ec78afaac57dd6a9a4a9534713ea2920ddac'}",23,0.2993262683307739,7.45905208401382,2026-09-18T04:59:58.404595+00:00
repl-qwen3-4b-q4km,complete,1599,55,55,data-driven,0.5389020863480151,0.5413004116354376,0.06417626887085265,0.5389020863480151,0.5413004116354376,0.06417626887085265,0.40878637649526556,0.6544430082581878,0.24565663176292224,1.0015873326450968,10,0.00625,800,2,20260918,True,8.064778957981616,,,800,2,"{'model': 'b98d97f655ee511dc5c7e0573c3300dfc5daf5760b820fa82ad93c49a2ff66ac', 'human': '3febb2d851a6c5136496c754fcc2ec78afaac57dd6a9a4a9534713ea2920ddac'}",10,0.24565663176292224,8.064778957981616,2026-09-18T05:00:06.470191+00:00
repl-qwen3-14b-q4km,complete,1600,23,23,regularized,0.6498963649030265,0.6491719015932673,0.06863373040670562,0.6498963649030265,0.6491719015932673,0.06863373040670562,0.5185973425587944,0.7823043623361373,0.2637070197773429,1.001574035701137,274,0.17125,800,2,20260918,False,9.253371374914423,,,800,2,"{'model': 'b98d97f655ee511dc5c7e0573c3300dfc5daf5760b820fa82ad93c49a2ff66ac', 'human': '3febb2d851a6c5136496c754fcc2ec78afaac57dd6a9a4a9534713ea2920ddac'}",274,0.2637070197773429,9.253371374914423,2026-09-18T05:00:15.724414+00:00
