model,dprime,meta_d,m_ratio,m_diff,n,n_wrong,evidence_tier,fit_status
human,1.3388688088371725,1.8336318864651173,1.3695381312659407,0.4947630776279448,1647,437,data-driven,ok
repl-gemma4-e2b-q4km,3.1293377594703653,0.47603406188874026,0.1521197449678005,-2.653303697581625,1600,92,data-driven,ok
repl-gemma4-e4b-q4km,3.1183530036340605,0.8076251028212661,0.25899091664095675,-2.3107279008127946,1600,94,data-driven,ok
repl-gemma4-26b-a4b-qat,5.304151226551023,4.878423255463204,0.9197368338676413,-0.42572797108781923,1598,5,prior-dominated,ok
repl-qwen3-1.7b-q8,2.4644634403743826,0.8482376848165339,0.3441875707791697,-1.6162257555578488,1600,171,data-driven,ok
repl-qwen3-4b-q4km,3.6521420145673478,1.671287105574657,0.4576183234135945,-1.9808549089926908,1599,55,data-driven,ok
repl-qwen3-14b-q4km,4.309767411890856,2.2721234526098946,0.5272032653875929,-2.037643959280962,1600,23,regularized,ok
