model,n_fictional,n_real,hit_rate,false_alarm_rate,dprime,criterion
human,197,212,0.2702020202020202,0.2699530516431925,0.0007528691252570718,0.6125785526306213
repl-gemma4-e2b-q4km,212,188,0.9272300469483568,0.1931216931216931,2.3219174984888546,-0.29450866108787166
repl-gemma4-e4b-q4km,212,188,0.9976525821596244,0.1984126984126984,3.674563419108945,-0.9899771696589316
repl-gemma4-26b-a4b-qat,210,188,0.9976303317535545,0.007936507936507936,5.236059032069999,-0.2062072201516676
repl-qwen3-1.7b-q8,212,188,0.8051643192488263,0.23544973544973544,1.5812298297737137,-0.0695985902197031
repl-qwen3-4b-q4km,211,188,0.9410377358490566,0.07671957671957672,2.9910331539058697,-0.06802813187027446
repl-qwen3-14b-q4km,212,188,0.9741784037558685,0.05026455026455026,3.5883900864610823,-0.15190109424842335
