model,n,accuracy,mean_confidence,mean_stated,overconfidence,ece,type2_auroc,n_wrong,conf5_n,conf5_accuracy,conf5_wrong,evidence_tier
human,1647,0.734669095324833,3.5628415300546448,0.8203551912568307,0.08568609593199761,0.08568609593199757,0.7675397620893772,437,627,0.9298245614035088,44,data-driven
repl-gemma4-e2b-q4km,1600,0.9425,4.83625,0.97953125,0.03703124999999996,0.07031249999999999,0.5101343558989736,92,1481,0.9439567859554355,83,data-driven
repl-gemma4-e4b-q4km,1600,0.94125,4.879375,0.984921875,0.043671874999999916,0.051328125,0.540123195162612,94,1416,0.9463276836158192,76,data-driven
repl-gemma4-26b-a4b-qat,1598,0.9968710888610763,4.949937421777221,0.9937421777221527,-0.0031289111389236623,0.008135168961201509,0.5757689893283113,5,1520,0.9973684210526316,4,prior-dominated
repl-qwen3-1.7b-q8,1600,0.893125,4.671875,0.958984375,0.06585937500000005,0.10085937499999999,0.5581071292647294,171,1262,0.9088748019017433,115,data-driven
repl-qwen3-4b-q4km,1599,0.965603502188868,4.5134459036898065,0.9391807379612258,-0.026422764227642226,0.04268292682926828,0.65875529910504,55,914,0.9857768052516411,13,data-driven
repl-qwen3-14b-q4km,1600,0.985625,4.608125,0.951015625,-0.03460937499999994,0.04335937500000002,0.7252901767252075,23,1214,0.9942339373970346,7,regularized
